0.0625 0.000277671  2
0.09375 0.000145578  1
0.125 0.000994958  4
0.15625 0.000477784  2
0.1875 0.000132492  1
0.21875 7.00294e-05  0
0.25 0.000329981  2
0.28125 0.000151345  1
0.3125 0.000610076  2
0.34375 0.000329265  2
0.375 0.000469842  2
0.40625 0.000261379  1
0.4375 0.000545745  2
0.46875 0.000279397  1
0.5 0.00048688  2
0.53125 0.000256745  1
0.5625 0.000524392  2
0.59375 0.000264295  1
0.625 0.000511834  2
0.65625 0.000259772  1
0.6875 0.000495657  2
0.71875 0.000268186  1
0.75 0.000515393  2
0.78125 0.000266784  1
0.8125 0.000499615  2
0.84375 0.000264885  1
0.875 0.000549129  2
0.90625 0.000286181  1
0.9375 0.000513256  2
0.96875 0.00027764  1
1 0.000518055  2
1.03125 0.000270032  1
1.0625 0.000482054  2
1.09375 0.000263497  1
1.125 0.000531306  2
1.15625 0.000270829  1
1.1875 0.000472572  2
1.21875 0.00024644  1
1.25 0.000520253  2
1.28125 0.000279887  1
1.3125 0.000501154  2
1.34375 0.000257893  1
1.375 0.000510349  2
1.40625 0.00027343  1
1.4375 0.000547497  2
1.46875 0.000285217  1
1.5 0.000483759  2
1.53125 0.000266358  1
1.5625 0.000526701  2
1.59375 0.000281289  1
1.625 0.000488271  2
1.65625 0.000254746  1
1.6875 0.000492543  2
1.71875 0.000257753  1
1.75 0.000502893  2
1.78125 0.000263701  1
1.8125 0.00050761  2
1.84375 0.000272698  1
1.875 0.000520117  2
1.90625 0.000269094  1
1.9375 0.00049098  2
1.96875 0.00026262  1
2 0.000544496  2
2.03125 0.000289402  1
2.0625 0.000487711  2
2.09375 0.000257915  1
2.125 0.000503654  2
2.15625 0.000274166  1
2.1875 0.000491809  2
2.21875 0.000257626  1
2.25 0.000496094  2
2.28125 0.000261977  1
2.3125 0.000511171  2
2.34375 0.000271055  1
2.375 0.000512671  2
2.40625 0.000271317  1
2.4375 0.000503119  2
2.46875 0.000260085  1
2.5 0.000510598  2
2.53125 0.00026816  1
2.5625 0.000511631  2
2.59375 0.000274865  1
2.625 0.000502248  2
2.65625 0.000268446  1
2.6875 0.00049494  2
2.71875 0.000265977  1
2.75 0.000496423  2
2.78125 0.000265148  1
2.8125 0.000506578  2
2.84375 0.000268081  1
2.875 0.000514221  2
2.90625 0.000272256  1
2.9375 0.000505882  2
2.96875 0.000263743  1
3 0.000501242  2
3.03125 0.000261309  1
3.0625 0.000509486  2
3.09375 0.000272027  1
3.125 0.00050068  2
3.15625 0.000266911  1
3.1875 0.000501047  2
3.21875 0.00027124  1
3.25 0.000502374  2
3.28125 0.000268927  1
3.3125 0.000504899  2
3.34375 0.000270779  1
3.375 0.000517422  2
3.40625 0.000273549  1
3.4375 0.000501423  2
3.46875 0.000262756  1
3.5 0.000496774  2
3.53125 0.000261641  1
3.5625 0.000506027  2
3.59375 0.000264888  1
3.625 0.000505901  2
3.65625 0.000270843  1
3.6875 0.000499054  2
3.71875 0.000265396  1
3.75 0.000506785  2
3.78125 0.000275503  1
3.8125 0.00050798  2
3.84375 0.000272582  1
3.875 0.000505361  2
3.90625 0.000272776  1
3.9375 0.000505062  2
3.96875 0.000268517  1
4 0.000490546  2
4.03125 0.0002585  1
4.0625 0.000504712  2
4.09375 0.000265332  1
4.125 0.000510898  2
4.15625 0.000267656  1
4.1875 0.000506777  2
4.21875 0.000270616  1
4.25 0.000506508  2
4.28125 0.000269268  1
4.3125 0.000506126  2
4.34375 0.000273672  1
4.375 0.000510512  2
4.40625 0.000274107  1
4.4375 0.000504083  2
4.46875 0.000270513  1
4.5 0.000492887  2
4.53125 0.000262672  1
4.5625 0.000500449  2
4.59375 0.000264928  1
4.625 0.000519737  2
4.65625 0.000270696  1
4.6875 0.000510163  2
4.71875 0.000267198  1
4.75 0.000517648  2
4.78125 0.00027539  1
4.8125 0.000496545  2
4.84375 0.00026287  1
4.875 0.000499008  2
4.90625 0.000269921  1
4.9375 0.000511864  2
4.96875 0.00027531  1
5 0.000501444  2
5.03125 0.000266264  1
5.0625 0.000500791  2
5.09375 0.00026629  1
5.125 0.000516345  2
5.15625 0.00026866  1
5.1875 0.000526146  2
5.21875 0.000276337  1
5.25 0.00051466  2
5.28125 0.000273229  1
5.3125 0.000498291  2
5.34375 0.000262871  1
5.375 0.000495035  2
5.40625 0.00026627  1
5.4375 0.000503691  2
5.46875 0.000269897  1
5.5 0.000497815  2
5.53125 0.000266502  1
5.5625 0.000498952  2
5.59375 0.000267402  1
5.625 0.000512574  2
5.65625 0.000269475  1
5.6875 0.000523298  2
5.71875 0.000272902  1
5.75 0.000523743  2
5.78125 0.000274951  1
5.8125 0.000504991  2
5.84375 0.000268734  1
5.875 0.000503214  2
5.90625 0.000271543  1
5.9375 0.000496887  2
5.96875 0.000266289  1
6 0.000493091  2
6.03125 0.000264355  1
6.0625 0.000500334  2
6.09375 0.000267847  1
6.125 0.000509319  2
6.15625 0.000271145  1
6.1875 0.000508441  2
6.21875 0.000269046  1
6.25 0.000513548  2
6.28125 0.000270801  1
6.3125 0.000506937  2
6.34375 0.000267903  1
