#time mag RMS inf sum variance min max
3700 1.00002 1.00002 1.01615 1.00002 1.63542e-06 0.986623 1.01615
3750 1 1 1.01145 1 1.23694e-06 0.991141 1.01145
3800 0.999993 0.999993 1.00987 0.999993 1.16846e-06 0.992464 1.00987
3850 0.999999 1 1.01024 0.999999 1.27606e-06 0.989214 1.01024
3900 1 1 1.01061 1 1.41683e-06 0.988267 1.01061
3950 1.00001 1.00001 1.01092 1.00001 1.53775e-06 0.987516 1.01092
4000 0.999981 0.999982 1.01126 0.999981 1.50511e-06 0.987339 1.01126
4050 0.999993 0.999994 1.01164 0.999993 1.34107e-06 0.987108 1.01164
4100 0.999995 0.999995 1.01211 0.999995 1.28465e-06 0.986802 1.01211
4150 1 1 1.01248 1 1.3763e-06 0.98701 1.01248
4200 1 1 1.01295 1 1.48872e-06 0.987068 1.01295
4250 0.999996 0.999997 1.01444 0.999996 1.62103e-06 0.986373 1.01444
4300 1.00002 1.00002 1.01605 1.00002 1.64256e-06 0.986712 1.01605
4350 1 1 1.01139 1 1.24699e-06 0.991169 1.01139
4400 0.999993 0.999993 1.00988 0.999993 1.1819e-06 0.99249 1.00988
4450 0.999999 1 1.01022 0.999999 1.28992e-06 0.98923 1.01022
4500 1 1 1.01061 1 1.43324e-06 0.988221 1.01061
4550 1.00001 1.00001 1.01094 1.00001 1.55456e-06 0.987463 1.01094
4600 0.999981 0.999982 1.01129 0.999981 1.51579e-06 0.987311 1.01129
4650 0.999993 0.999994 1.01167 0.999993 1.35196e-06 0.987063 1.01167
4700 0.999995 0.999995 1.01218 0.999995 1.29921e-06 0.986734 1.01218
4750 1 1 1.01253 1 1.39147e-06 0.986924 1.01253
4800 1 1 1.01303 1 1.505e-06 0.986935 1.01303
4850 0.999996 0.999996 1.01458 0.999996 1.63722e-06 0.98623 1.01458
4900 1.00002 1.00002 1.01596 1.00002 1.64489e-06 0.986885 1.01596
4950 1 1 1.01131 1 1.25401e-06 0.991178 1.01131
5000 0.999993 0.999993 1.00984 0.999993 1.19155e-06 0.992537 1.00984
5050 0.999999 1 1.01018 0.999999 1.30019e-06 0.989265 1.01018
5100 1 1 1.0106 1 1.44563e-06 0.988198 1.0106
5150 1.00001 1.00001 1.01094 1.00001 1.56904e-06 0.98743 1.01094
5200 0.999982 0.999982 1.01131 0.999982 1.52246e-06 0.987301 1.01131
5250 0.999993 0.999993 1.01168 0.999993 1.36057e-06 0.987036 1.01168
5300 0.999994 0.999995 1.01224 0.999994 1.31083e-06 0.986689 1.01224
5350 1 1 1.01255 1 1.40347e-06 0.986867 1.01255
5400 1 1 1.01307 1 1.51842e-06 0.986843 1.01307
5450 0.999995 0.999996 1.01461 0.999995 1.6503e-06 0.986161 1.01461
5500 1.00002 1.00002 1.01583 1.00002 1.64306e-06 0.986923 1.01583
5550 1 1 1.01123 1 1.25871e-06 0.991206 1.01123
5600 0.999992 0.999993 1.00976 0.999992 1.19887e-06 0.992578 1.00976
5650 0.999999 1 1.01012 0.999999 1.30795e-06 0.98932 1.01012
5700 1 1 1.01058 1 1.45542e-06 0.98819 1.01058
5750 1.00001 1.00001 1.01094 1.00001 1.58118e-06 0.987409 1.01094
5800 0.999982 0.999983 1.01132 0.999982 1.52688e-06 0.987305 1.01132
5850 0.999993 0.999993 1.01171 0.999993 1.36728e-06 0.987022 1.01171
5900 0.999994 0.999995 1.01227 0.999994 1.32017e-06 0.986662 1.01227
5950 1 1 1.01255 1 1.41246e-06 0.986834 1.01255
6000 1 1 1.01309 1 1.52995e-06 0.986783 1.01309
