#time Tmin Tmax uniTmin uniTmax Amin Amax Avar
0.5	-0.000607659 0.998316	1 1	0.998956 1.00132	5.70296e-09
1	-0.000642112 0.998461	1 1	0.891847 1.23797	1.704e-05
1.5	-0.000770177 0.998625	1 1	0.967471 1.24219	2.203e-05
2	-0.000846778 0.998721	1 1	0.810414 1.23585	3.94999e-05
2.5	-0.000994864 0.998502	1 1	0.80515 1.23114	4.76401e-05
3	-0.00110258 0.998234	1 1	0.810259 1.22623	6.59435e-05
3.5	-0.00117619 0.997626	1 1	0.819536 1.38953	9.04368e-05
4	-0.00125738 0.997245	1 1	0.828617 1.37515	0.000101049
4.5	-0.00131711 0.998013	1 1	0.835593 1.36378	0.000101219
5	-0.00141807 0.998512	1 1	0.842895 1.35203	0.000109067
5.5	-0.00152959 0.998861	1 1	0.760831 1.34037	0.000121687
6	-0.00162416 0.999022	1 1	0.702221 1.328	0.000141246
6.5	-0.00168059 0.999015	1 1	0.724528 1.31564	0.000135992
7	-0.00172931 0.998894	1 1	0.747755 1.30378	0.000133188
7.5	-0.00173804 0.99855	1 1	0.765575 1.29722	0.000142801
8	-0.00177011 0.998047	1 1	0.78323 1.34412	0.000161975
8.5	-0.0019006 0.997796	1 1	0.799146 1.33591	0.000156196
9	-0.0020099 0.998541	1 1	0.779695 1.32872	0.000155852
9.5	-0.0020875 0.999046	1 1	0.790596 1.32133	0.000157359
10	-0.00214344 0.999369	1 1	0.778233 1.31362	0.000167055
10.5	-0.00216741 0.999512	1 1	0.787417 1.30568	0.000159698
11	-0.0021667 0.999475	1 1	0.79665 1.2975	0.000155361
11.5	-0.00217106 0.999339	1 1	0.80607 1.28899	0.000153371
12	-0.00224511 0.999033	1 1	0.809377 1.28161	0.00014941
12.5	-0.00237433 0.998513	1 1	0.804519 1.27515	0.000148197
13	-0.00246934 0.998385	1 1	0.79993 1.26902	0.000146593
13.5	-0.00252858 0.999081	1 1	0.79561 1.26308	0.000145316
14	-0.0025599 0.999544	1 1	0.790083 1.25633	0.000144658
14.5	-0.00255673 0.999817	1 1	0.784518 1.24977	0.000144987
15	-0.00254374 0.999894	1 1	0.778653 1.24253	0.000146114
15.5	-0.00253451 0.999838	1 1	0.774098 1.23593	0.000148174
16	-0.00264293 0.999671	1 1	0.77002 1.22918	0.000150367
