#time Tmin Tmax uniTmin uniTmax Amin Amax
48	-0.00464739 0.998396	1 1	0.997128 1.00357
48.5	-0.00468586 0.998015	1 1	0.997094 1.00363
49	-0.00476152 0.997634	1 1	0.997064 1.00368
49.5	-0.00481912 0.997633	1 1	0.997037 1.00373
50	-0.00486789 0.997439	1 1	0.997012 1.00377
50.5	-0.0048842 0.997242	1 1	0.996986 1.00382
51	-0.0049127 0.998008	1 1	0.996955 1.00388
51.5	-0.0049004 0.99869	1 1	0.996929 1.00393
52	-0.00491918 0.999166	1 1	0.996898 1.00397
52.5	-0.00489306 0.999428	1 1	0.996858 1.00401
53	-0.00490181 0.999497	1 1	0.996817 1.00406
53.5	-0.00488219 0.999413	1 1	0.996777 1.00411
54	-0.00489772 0.999161	1 1	0.996734 1.00415
54.5	-0.00495847 0.998738	1 1	0.996686 1.0042
55	-0.00502502 0.998099	1 1	0.996641 1.00424
55.5	-0.00505978 0.997276	1 1	0.996598 1.00429
56	-0.00508909 0.997149	1 1	0.996558 1.00433
56.5	-0.00510638 0.997272	1 1	0.996521 1.00438
57	-0.00510819 0.997391	1 1	0.996478 1.00443
57.5	-0.00512284 0.99802	1 1	0.996436 1.00448
58	-0.00509472 0.998497	1 1	0.9964 1.00452
58.5	-0.00511661 0.998796	1 1	0.996366 1.00455
59	-0.0051011 0.998924	1 1	0.99633 1.00459
59.5	-0.00508187 0.998898	1 1	0.996287 1.00464
60	-0.00509948 0.998685	1 1	0.996248 1.0047
60.5	-0.005166 0.998309	1 1	0.996204 1.00477
61	-0.00520077 0.997714	1 1	0.99616 1.00484
61.5	-0.00524145 0.998107	1 1	0.996116 1.00491
62	-0.00526399 0.998413	1 1	0.996074 1.00497
62.5	-0.00527274 0.99853	1 1	0.996031 1.00502
63	-0.00529541 0.998451	1 1	0.99599 1.00508
63.5	-0.00527856 0.998184	1 1	0.995947 1.00514
64	-0.00529956 0.997721	1 1	0.995911 1.00519
64.5	-0.00529664 0.997832	1 1	0.995878 1.00524
65	-0.00526708 0.998029	1 1	0.995846 1.00528
65.5	-0.00529257 0.998043	1 1	0.995813 1.00532
66	-0.00527884 0.997873	1 1	0.995781 1.00536
66.5	-0.00529186 0.99755	1 1	0.995748 1.00541
67	-0.00533703 0.99795	1 1	0.995718 1.00547
67.5	-0.00537312 0.998494	1 1	0.99569 1.00552
68	-0.00537812 0.998824	1 1	0.995661 1.00557
68.5	-0.00541886 0.998939	1 1	0.995631 1.00562
69	-0.00542608 0.998895	1 1	0.995604 1.00567
69.5	-0.00542823 0.998657	1 1	0.995578 1.00571
70	-0.00545112 0.998231	1 1	0.995552 1.00576
70.5	-0.00543659 0.997584	1 1	0.99553 1.00579
71	-0.00544104 0.997326	1 1	0.995501 1.00584
71.5	-0.00545574 0.997455	1 1	0.995448 1.00592
72	-0.00543301 0.997359	1 1	0.995397 1.006
72.5	-0.00543015 0.997114	1 1	0.995348 1.00607
73	-0.0054496 0.997868	1 1	0.9953 1.00614
73.5	-0.00543321 0.998437	1 1	0.995252 1.00621
74	-0.00545959 0.998799	1 1	0.995204 1.00627
74.5	-0.0054971 0.998947	1 1	0.995152 1.00633
75	-0.00550473 0.998935	1 1	0.995099 1.0064
75.5	-0.0055236 0.998745	1 1	0.995048 1.00646
76	-0.00554747 0.99835	1 1	0.995 1.00652
76.5	-0.00553741 0.997737	1 1	0.994958 1.00657
77	-0.00555069 0.99712	1 1	0.994915 1.00662
77.5	-0.00556917 0.99734	1 1	0.994873 1.00668
78	-0.00555401 0.997383	1 1	0.994832 1.00675
78.5	-0.00555246 0.997221	1 1	0.994795 1.00681
79	-0.00557837 0.997503	1 1	0.99476 1.00688
79.5	-0.00556898 0.9981	1 1	0.994728 1.00694
80	-0.00553026 0.998497	1 1	0.994694 1.00701
80.5	-0.00557141 0.998698	1 1	0.994662 1.00707
81	-0.00557727 0.998705	1 1	0.99463 1.00713
81.5	-0.00554754 0.998566	1 1	0.994605 1.00719
82	-0.00556578 0.998193	1 1	0.994584 1.00725
82.5	-0.0055742 0.997621	1 1	0.994564 1.00734
83	-0.00557056 0.997448	1 1	0.994548 1.00745
83.5	-0.00560708 0.997747	1 1	0.994532 1.00757
84	-0.00561343 0.997878	1 1	0.994523 1.00767
84.5	-0.00559033 0.997828	1 1	0.994516 1.00779
85	-0.00562596 0.997601	1 1	0.994516 1.0079
85.5	-0.00564115 0.997316	1 1	0.994521 1.00801
86	-0.00562441 0.997762	1 1	0.994465 1.00813
86.5	-0.0056253 0.998016	1 1	0.994404 1.00824
87	-0.00565459 0.998044	1 1	0.994347 1.00836
87.5	-0.00565327 0.99792	1 1	0.994296 1.00848
88	-0.00561793 0.997583	1 1	0.994255 1.00858
88.5	-0.00564052 0.997338	1 1	0.994216 1.00869
89	-0.00566348 0.997912	1 1	0.994171 1.00882
