0.25 8.49395e-05  0
0.375 8.49395e-05  0
0.5 0.0032122  4
0.625 0.00100432  2
0.75 0.00016589  1
0.875 4.77416e-05  0
1 0.00103869  2
1.125 0.000305111  1
1.25 0.00245741  3
1.375 0.000708657  2
1.5 0.000118009  1
1.625 3.58915e-05  0
1.75 0.00194204  3
1.875 0.000563119  2
2 9.28627e-05  0
2.125 9.28627e-05  0
2.25 0.00202719  3
2.375 0.00061048  2
2.5 0.000100213  1
2.625 2.94322e-05  0
2.75 0.00165514  3
2.875 0.00050126  2
3 8.15683e-05  0
3.125 8.15683e-05  0
3.25 0.00194207  3
3.375 0.000576282  2
3.5 9.67653e-05  0
3.625 9.67653e-05  0
3.75 0.00168787  3
3.875 0.000483162  2
4 8.30177e-05  0
4.125 8.30177e-05  0
4.25 0.00179562  3
4.375 0.000536586  2
4.5 8.82955e-05  0
4.625 8.82955e-05  0
4.75 0.00169557  3
4.875 0.000532294  2
5 8.70747e-05  0
5.125 8.70747e-05  0
5.25 0.0018769  3
5.375 0.000563471  2
5.5 9.37972e-05  0
5.625 9.37972e-05  0
5.75 0.00196074  3
5.875 0.00057628  2
6 9.63538e-05  0
6.125 9.63538e-05  0
6.25 0.00213748  3
6.375 0.000653729  2
6.5 0.000106562  1
6.625 3.07828e-05  0
6.75 0.00181306  3
6.875 0.000554372  2
7 8.88907e-05  0
7.125 8.88907e-05  0
7.25 0.00181393  3
7.375 0.000562326  2
7.5 9.11218e-05  0
7.625 9.11218e-05  0
7.75 0.00163203  3
7.875 0.000501029  2
8 8.14599e-05  0
8.125 8.14599e-05  0
8.25 0.00162411  3
8.375 0.000494196  2
8.5 8.0914e-05  0
8.625 8.0914e-05  0
8.75 0.00169475  3
8.875 0.00051037  2
9 8.3807e-05  0
9.125 8.3807e-05  0
9.25 0.00172327  3
9.375 0.000538507  2
9.5 8.81452e-05  0
9.625 8.81452e-05  0
9.75 0.00180681  3
9.875 0.000563102  2
10 9.20361e-05  0
10.125 9.20361e-05  0
10.25 0.00197113  3
10.375 0.000604999  2
10.5 9.79611e-05  0
