#time Tmin Tmax uniTmin uniTmax Amin Amax
48	-0.00464739 0.998396	0.998799 1.00126	1 1
48.5	-0.00468586 0.998015	0.998803 1.00129	1 1
49	-0.00476152 0.997634	0.998808 1.00132	1 1
49.5	-0.00481912 0.997633	0.998816 1.00135	1 1
50	-0.00486789 0.997439	0.998826 1.00137	1 1
50.5	-0.0048842 0.997242	0.998836 1.00139	1 1
51	-0.0049127 0.998008	0.998817 1.00142	1 1
51.5	-0.0049004 0.99869	0.998799 1.00143	1 1
52	-0.00491918 0.999166	0.998782 1.00144	1 1
52.5	-0.00489306 0.999428	0.998765 1.00144	1 1
53	-0.00490181 0.999497	0.998747 1.00144	1 1
53.5	-0.00488219 0.999413	0.998728 1.00143	1 1
54	-0.00489772 0.999161	0.998714 1.00141	1 1
54.5	-0.00495847 0.998738	0.998701 1.00138	1 1
55	-0.00502503 0.998099	0.998688 1.00133	1 1
55.5	-0.00505978 0.997276	0.998674 1.00128	1 1
56	-0.00508909 0.997149	0.998645 1.00129	1 1
56.5	-0.00510638 0.997272	0.99862 1.00129	1 1
57	-0.00510819 0.997391	0.998595 1.0013	1 1
57.5	-0.00512284 0.99802	0.998569 1.00131	1 1
58	-0.00509472 0.998497	0.998545 1.00132	1 1
58.5	-0.00511661 0.998796	0.998523 1.00133	1 1
59	-0.0051011 0.998924	0.998496 1.00134	1 1
59.5	-0.00508187 0.998898	0.998461 1.00137	1 1
60	-0.00509948 0.998685	0.998431 1.00138	1 1
60.5	-0.005166 0.998309	0.998399 1.0014	1 1
61	-0.00520077 0.997714	0.998366 1.00142	1 1
61.5	-0.00524145 0.998107	0.998332 1.00143	1 1
62	-0.00526399 0.998413	0.998303 1.00144	1 1
62.5	-0.00527274 0.99853	0.99827 1.00146	1 1
63	-0.00529541 0.998451	0.998242 1.00147	1 1
63.5	-0.00527856 0.998184	0.998202 1.00149	1 1
64	-0.00529956 0.997721	0.998154 1.0015	1 1
64.5	-0.00529664 0.997832	0.998106 1.00151	1 1
65	-0.00526707 0.998029	0.998059 1.00152	1 1
65.5	-0.00529257 0.998043	0.998012 1.00152	1 1
66	-0.00527885 0.997873	0.997967 1.00151	1 1
66.5	-0.00529184 0.99755	0.997925 1.00149	1 1
67	-0.00533701 0.99795	0.997886 1.00147	1 1
67.5	-0.00537309 0.998495	0.997851 1.00143	1 1
68	-0.00537809 0.998824	0.997814 1.00141	1 1
68.5	-0.00541883 0.998938	0.997778 1.00143	1 1
69	-0.00542607 0.998894	0.997734 1.00145	1 1
69.5	-0.00542819 0.998656	0.997689 1.00146	1 1
70	-0.0054511 0.998229	0.997644 1.00148	1 1
70.5	-0.0054366 0.997581	0.997604 1.00149	1 1
71	-0.00544101 0.997328	0.997568 1.0015	1 1
71.5	-0.00545574 0.997456	0.997528 1.0015	1 1
72	-0.00543305 0.997358	0.997463 1.00151	1 1
72.5	-0.00543012 0.997119	0.997398 1.00154	1 1
73	-0.00544962 0.997872	0.997336 1.00156	1 1
73.5	-0.00543307 0.99844	0.997277 1.00159	1 1
74	-0.00545939 0.9988	0.997222 1.00161	1 1
74.5	-0.00549694 0.998947	0.997171 1.00163	1 1
75	-0.00550462 0.998934	0.997118 1.00164	1 1
75.5	-0.00552341 0.998742	0.997078 1.00164	1 1
76	-0.00554735 0.998344	0.997049 1.00162	1 1
76.5	-0.00553739 0.997729	0.99703 1.00161	1 1
77	-0.00555054 0.997124	0.997018 1.00161	1 1
77.5	-0.00556908 0.997342	0.996992 1.00159	1 1
78	-0.00555404 0.997382	0.996969 1.00157	1 1
78.5	-0.0055523 0.997218	0.996924 1.00154	1 1
79	-0.00557833 0.997513	0.996888 1.00153	1 1
79.5	-0.00556904 0.998109	0.996859 1.00155	1 1
80	-0.00553004 0.998502	0.99682 1.00158	1 1
80.5	-0.00557133 0.998699	0.996792 1.0016	1 1
81	-0.00557736 0.998703	0.996773 1.00162	1 1
81.5	-0.00554782 0.998559	0.996766 1.00164	1 1
82	-0.00556544 0.998184	0.996775 1.00166	1 1
82.5	-0.00557396 0.997606	0.996798 1.0017	1 1
83	-0.00557009 0.997458	0.996835 1.00173	1 1
83.5	-0.00560668 0.997753	0.996864 1.00176	1 1
84	-0.00561323 0.997878	0.996846 1.00178	1 1
84.5	-0.00559027 0.997824	0.996845 1.00181	1 1
85	-0.00562558 0.997593	0.996857 1.00183	1 1
85.5	-0.00564094 0.997331	0.996884 1.00185	1 1
86	-0.00562438 0.997771	0.996928 1.00185	1 1
86.5	-0.00562487 0.998019	0.996984 1.00184	1 1
87	-0.00565433 0.998042	0.997038 1.00182	1 1
87.5	-0.00565326 0.997913	0.997105 1.00178	1 1
88	-0.00561813 0.997571	0.997182 1.00174	1 1
88.5	-0.00564016 0.997359	0.997272 1.0017	1 1
89	-0.00566334 0.997928	0.997332 1.00174	1 1
89.5	-0.00565402 0.998302	0.997377 1.00179	1 1
90	-0.00561195 0.998502	0.997444 1.00185	1 1
90.5	-0.005637 0.998535	0.997527 1.0019	1 1
91	-0.00566235 0.998435	0.997629 1.00195	1 1
91.5	-0.00565453 0.998172	0.997739 1.00198	1 1
92	-0.00561479 0.997737	0.997843 1.002	1 1
92.5	-0.00562086 0.997166	0.997955 1.00205	1 1
93	-0.00565381 0.996485	0.998062 1.00209	1 1
93.5	-0.00565307 0.99645	0.998164 1.00212	1 1
94	-0.00564699 0.996205	0.998269 1.0022	1 1
94.5	-0.00562782 0.997086	0.998378 1.0023	1 1
95	-0.00563396 0.997754	0.998363 1.00242	1 1
95.5	-0.00566477 0.998236	0.998343 1.00255	1 1
96	-0.00566918 0.998561	0.998326 1.00268	1 1
96.5	-0.00564518 0.998761	0.998313 1.00282	1 1
97	-0.00564253 0.998831	0.998307 1.00295	1 1
97.5	-0.00567607 0.998747	0.998303 1.0031	1 1
98	-0.00568272 0.998504	0.998303 1.00324	1 1
98.5	-0.00566178 0.998138	0.998302 1.00339	1 1
99	-0.00563173 0.997622	0.998302 1.0036	1 1
99.5	-0.00567519 0.996987	0.998261 1.00384	1 1
100	-0.00569019 0.996795	0.998206 1.00409	1 1
100.5	-0.00567648 0.997098	0.998155 1.00435	1 1
101	-0.00563269 0.997275	0.998108 1.0046	1 1
101.5	-0.00565832 0.997277	0.998062 1.00484	1 1
102	-0.00568772 0.997132	0.99802 1.00508	1 1
102.5	-0.00568996 0.997103	0.997983 1.0053	1 1
103	-0.00566386 0.997408	0.997957 1.00557	1 1
103.5	-0.0056193 0.997577	0.997946 1.00591	1 1
104	-0.00566814 0.997672	0.997919 1.00621	1 1
104.5	-0.00569198 0.997653	0.997864 1.00647	1 1
105	-0.00568843 0.997489	0.997823 1.00672	1 1
105.5	-0.00565667 0.997241	0.997798 1.00692	1 1
106	-0.00562555 0.996876	0.99772 1.00704	1 1
106.5	-0.00567148 0.997072	0.997631 1.00726	1 1
